normalisation,label,score,interp_rate
raw,Gender x STEM,-0.002033,1.92
raw,Gender x Care,0.033994,1.92
raw,Race x Criminal,0.015112,1.92
raw,Religion x NegSentiment,-0.049981,1.92
raw,Age x NegSentiment,0.019997,1.92
raw,Gender x PosSentiment,-0.017852,1.92
raw,Race x PosSentiment,-0.004541,1.92
mean_centred,Gender x STEM,-0.015626,1.92
mean_centred,Gender x Care,0.126608,1.92
mean_centred,Race x Criminal,-0.016408,1.92
mean_centred,Religion x NegSentiment,0.000705,1.92
mean_centred,Age x NegSentiment,0.030687,1.92
mean_centred,Gender x PosSentiment,-0.069302,1.92
mean_centred,Race x PosSentiment,0.041116,1.92
z_scored,Gender x STEM,0.002417,1.92
z_scored,Gender x Care,0.111087,1.92
z_scored,Race x Criminal,-0.022429,1.92
z_scored,Religion x NegSentiment,0.022676,1.92
z_scored,Age x NegSentiment,0.043909,1.92
z_scored,Gender x PosSentiment,-0.037371,1.92
z_scored,Race x PosSentiment,0.034401,1.92
cosine_normalised,Gender x STEM,-0.002033,1.92
cosine_normalised,Gender x Care,0.033994,1.92
cosine_normalised,Race x Criminal,0.015112,1.92
cosine_normalised,Religion x NegSentiment,-0.049981,1.92
cosine_normalised,Age x NegSentiment,0.019997,1.92
cosine_normalised,Gender x PosSentiment,-0.017852,1.92
cosine_normalised,Race x PosSentiment,-0.004541,1.92
